Number,Race,Race Grouping,Gender,Age,In Custody/Community,Supervision Type,Jurisdiction,Sentence Type,Aggregate Sentence Length,Institutional Security Level,Province,Location Type,Offender Security Level,Dynamic/Need,Static/Risk,Reintegration Potential,Motivation,Major Offence Group,Religion
A1,BLACK,Non Aboriginal,MALE,28,Community,FP,FEDERAL,DETERMINATE,1096,,NOVA SCOTIA,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,MEDIUM,HIGH,WEAPON & EXPLOS,BAPTIST
A2,WHITE,Non Aboriginal,MALE,39,Community,FP,FEDERAL,DETERMINATE,912,,PRINCE EDWARD I,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,OTHER CRIM.CODE,CATHOLIC - ROMA
A3,WHITE,Non Aboriginal,MALE,35,Community,SR,FEDERAL,DETERMINATE,2329,,NEW BRUNSWICK,PAROLE OFFICE,MAXIMUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MAJOR ASSAULT,CATHOLIC - ROMA
A4,WHITE,Non Aboriginal,MALE,41,Community,SR,FEDERAL,DETERMINATE,1278,,ONTARIO,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,ROBBERY,NONE
A5,WHITE,Non Aboriginal,MALE,36,Community,SR,FEDERAL,DETERMINATE,2192,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,ROBBERY,OTHER
A6,WHITE,Non Aboriginal,FEMALE,79,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE SUB-OFFI,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,JUDAISM
A7,WHITE,Non Aboriginal,MALE,45,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A8,WHITE,Non Aboriginal,MALE,33,Community,FP,FEDERAL,DETERMINATE,913,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,ANGLICAN(EPIS.
A9,WHITE,Non Aboriginal,MALE,42,Community,DP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,MEDIUM,MEDIUM,HOMIC & RELATED,PROT NON-SPEC
A10,WHITE,Non Aboriginal,MALE,39,Community,SR,FEDERAL,DETERMINATE,1826,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,ROBBERY,PROT NON-SPEC
