Number,Race,Race Grouping,Gender,Age,Incarcerated/Supervised,Supervision Type,Sentence Type,Aggregate Sentence Length,Province,Marital Status,Religion
1,WHITE,Non Indigenous,MALE,62,Supervised,SR,DETERMINATE,1903,ONTARIO,COMMON LAW,NONE
2,,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,1584,ONTARIO,UNKNOWN,
3,WHITE,Non Indigenous,MALE,55,Supervised,FP,INDETERMINATE,0,ALBERTA,DIVORCED,NONE
4,WHITE,Non Indigenous,MALE,50,Supervised,FP,INDETERMINATE,0,ONTARIO,SEPARATED,ANGLICAN(EPIS.
5,WHITE,Non Indigenous,MALE,47,Supervised,LTSO,DETERMINATE,753,BRITISH COLUMBIA,SINGLE,CHRISTIAN REFOR
6,WHITE,Non Indigenous,MALE,35,Supervised,SR,DETERMINATE,732,NFLD AND LAB,SINGLE,CATHOLIC - ROMA
7,WHITE,Non Indigenous,MALE,70,Incarcerated,,DETERMINATE,1826,BRITISH COLUMBIA,MARRIED,NONE
8,WHITE,Non Indigenous,FEMALE,54,Supervised,SR,DETERMINATE,10838,ALBERTA,SINGLE,WICCA
9,WHITE,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,869,QUEBEC,SINGLE,CATH NON-SPEC
10,WHITE,Non Indigenous,MALE,66,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,CATH NON-SPEC
11,WHITE,Non Indigenous,FEMALE,37,Incarcerated,,DETERMINATE,1180,ALBERTA,SEPARATED,NOT STATED
12,WHITE,Non Indigenous,MALE,62,Supervised,FP,DETERMINATE,1826,QUEBEC,SINGLE,CATH NON-SPEC
13,S. E. ASIAN,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,1339,ALBERTA,SINGLE,NONE
14,WHITE,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,792,QUEBEC,SINGLE,CATH NON-SPEC
15,SOUTH ASIAN,Non Indigenous,MALE,34,Supervised,FP,DETERMINATE,2191,MANITOBA,SINGLE,BUDDHIST
16,WHITE,Non Indigenous,MALE,57,Incarcerated,,DETERMINATE,2191,MANITOBA,MARRIED,NONE
17,WHITE,Non Indigenous,MALE,63,Supervised,DP,INDETERMINATE,0,BRITISH COLUMBIA,COMMON LAW,PROT NON-SPEC
18,METIS,Indigenous,MALE,31,Supervised,SR,DETERMINATE,1068,ALBERTA,COMMON LAW,NONE
19,WHITE,Non Indigenous,MALE,49,Incarcerated,,INDETERMINATE,0,NOVA SCOTIA,SINGLE,SALVATION ARMY
20,WHITE,Non Indigenous,MALE,32,Incarcerated,,INDETERMINATE,0,ALBERTA,SINGLE,NOT STATED
21,WHITE,Non Indigenous,MALE,45,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,DIVORCED,NONE
22,BLACK,Non Indigenous,MALE,50,Incarcerated,,DETERMINATE,3835,QUEBEC,SINGLE,MUSLIM
23,BLACK,Non Indigenous,MALE,31,Supervised,SR,DETERMINATE,1977,ONTARIO,COMMON LAW,RASTAFARIAN
24,WHITE,Non Indigenous,MALE,22,Supervised,SR,DETERMINATE,1096,ONTARIO,SINGLE,NONE
25,WHITE,Non Indigenous,MALE,41,Supervised,FP,DETERMINATE,1096,ALBERTA,MARRIED,NONE
26,WHITE,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,1127,QUEBEC,SINGLE,CATH NON-SPEC
27,METIS,Indigenous,MALE,43,Supervised,SR,DETERMINATE,1249,BRITISH COLUMBIA,SINGLE,CHRI NON SPEC
28,NORTH AMERICAN,Indigenous,MALE,30,Incarcerated,,DETERMINATE,2038,ALBERTA,SINGLE,NONE
29,WHITE,Non Indigenous,MALE,71,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,MARRIED,OTHER
30,WHITE,Non Indigenous,MALE,21,Incarcerated,,DETERMINATE,1310,ALBERTA,SINGLE,CHRI NON SPEC
31,WHITE,Non Indigenous,MALE,50,Incarcerated,,DETERMINATE,2009,BRITISH COLUMBIA,DIVORCED,NONE
32,WHITE,Non Indigenous,MALE,43,Incarcerated,,DETERMINATE,1082,QUEBEC,COMMON LAW,CATH NON-SPEC
