Number,Race,Race Grouping,Gender,Age,Incarcerated/Supervised,Supervision Type,Sentence Type,Aggregate Sentence Length,Province,Marital Status,Religion
1,WHITE,Non Aboriginal,MALE,29,Incarcerated,,DETERMINATE,1017,NFLD AND LAB,COMMON LAW,OTHER
2,WHITE,Non Aboriginal,MALE,52,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,MARRIED,PROT NON-SPEC
3,WHITE,Non Aboriginal,MALE,76,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,WIDOW(ER),PROT NON-SPEC
4,WHITE,Non Aboriginal,MALE,44,Incarcerated,,DETERMINATE,2922,NEW BRUNSWICK,SINGLE,CHRI NON SPEC
5,WHITE,Non Aboriginal,MALE,41,Incarcerated,,DETERMINATE,732,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
6,FIRST NATIONS,Aboriginal,MALE,21,Incarcerated,,DETERMINATE,820,NEW BRUNSWICK,SINGLE,
7,WHITE,Non Aboriginal,MALE,52,Supervised,SR-RES,DETERMINATE,912,NFLD AND LAB,MARRIED,CATH NON-SPEC
8,WHITE,Non Aboriginal,MALE,38,Incarcerated,,DETERMINATE,2192,NEW BRUNSWICK,DIVORCED,NONE
9,WHITE,Non Aboriginal,MALE,66,Supervised,SR,DETERMINATE,4327,NEW BRUNSWICK,COMMON LAW,UNITED CHURCH
10,WHITE,Non Aboriginal,MALE,50,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
11,WHITE,Non Aboriginal,MALE,23,Incarcerated,,DETERMINATE,1461,NOVA SCOTIA,COMMON LAW,CATH NON-SPEC
12,WHITE,Non Aboriginal,MALE,65,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,DIVORCED,CATH NON-SPEC
13,BLACK,Non Aboriginal,MALE,24,Incarcerated,,DETERMINATE,731,NEW BRUNSWICK,COMMON LAW,NOT STATED
14,BLACK,Non Aboriginal,MALE,23,Incarcerated,,DETERMINATE,1614,NOVA SCOTIA,COMMON LAW,MUSLIM
15,WHITE,Non Aboriginal,MALE,34,Incarcerated,,DETERMINATE,1186,NOVA SCOTIA,SINGLE,
16,FIRST NATIONS,Aboriginal,MALE,46,Incarcerated,,DETERMINATE,1656,NOVA SCOTIA,COMMON LAW,CATHOLIC - ROMA
17,WHITE,Non Aboriginal,MALE,32,Supervised,FP,DETERMINATE,1278,NEW BRUNSWICK,SEPARATED,
18,WHITE,Non Aboriginal,MALE,28,Incarcerated,,DETERMINATE,1826,NOVA SCOTIA,COMMON LAW,ATHEIST
19,WHITE,Non Aboriginal,MALE,35,Incarcerated,,DETERMINATE,1440,NOVA SCOTIA,COMMON LAW,PRESBYTERIAN
20,BLACK,Non Aboriginal,MALE,44,Incarcerated,,DETERMINATE,1734,NOVA SCOTIA,MARRIED,BAPTIST
21,WHITE,Non Aboriginal,MALE,62,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,SEPARATED,PROT NON-SPEC
22,WHITE,Non Aboriginal,MALE,74,Incarcerated,,DETERMINATE,2922,NEW BRUNSWICK,MARRIED,CATHOLIC - ROMA
23,WHITE,Non Aboriginal,MALE,27,Incarcerated,,DETERMINATE,1376,NOVA SCOTIA,SINGLE,CHRI NON SPEC
24,WHITE,Non Aboriginal,MALE,36,Incarcerated,,DETERMINATE,1096,NOVA SCOTIA,SEPARATED,CATHOLIC - ROMA
25,WHITE,Non Aboriginal,MALE,22,Incarcerated,,DETERMINATE,1125,NOVA SCOTIA,COMMON LAW,
26,WHITE,Non Aboriginal,MALE,63,Supervised,FP,DETERMINATE,4199,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
27,WHITE,Non Aboriginal,MALE,31,Supervised,FP,DETERMINATE,1461,NOVA SCOTIA,COMMON LAW,CATHOLIC - ROMA
