Number,Race,Race Grouping,Gender,Age,Incarcerated/Supervised,Supervision Type,Sentence Type,Aggregate Sentence Length,Province,Marital Status,Religion
1,OTHER,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,1553,NEW BRUNSWICK,SINGLE,
2,WHITE,Non Indigenous,MALE,47,Supervised,SR,DETERMINATE,1950,BRITISH COLUMBIA,SEPARATED,NONE
3,WHITE,Non Indigenous,MALE,50,Incarcerated,,DETERMINATE,3287,BRITISH COLUMBIA,SINGLE,ANGLICAN(EPIS.
4,WHITE,Non Indigenous,MALE,57,Supervised,FP,INDETERMINATE,0,SASKATCHEWAN,COMMON LAW,CATH NON-SPEC
5,WHITE,Non Indigenous,MALE,49,Supervised,SR,DETERMINATE,879,MANITOBA,SINGLE,CATHOLIC - ROMA
6,SUB-SAHARA AFRI,Non Indigenous,MALE,46,Incarcerated,,DETERMINATE,1431,QUEBEC,SINGLE,PROT NON-SPEC
7,WHITE,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,1157,QUEBEC,COMMON LAW,CATH NON-SPEC
8,WHITE,Non Indigenous,MALE,45,Supervised,SR,DETERMINATE,973,ONTARIO,SEPARATED,NONE
9,WHITE,Non Indigenous,MALE,51,Incarcerated,,DETERMINATE,3014,QUEBEC,SINGLE,CATH NON-SPEC
10,WHITE,Non Indigenous,MALE,61,Supervised,FP,INDETERMINATE,0,ALBERTA,WIDOW(ER),
11,LATIN AMERICAN,Non Indigenous,MALE,33,Supervised,DP,DETERMINATE,730,BRITISH COLUMBIA,COMMON LAW,NONE
12,METIS,Indigenous,MALE,46,Incarcerated,,DETERMINATE,1983,ONTARIO,SINGLE,NATIVE SPIRITUA
13,WHITE,Non Indigenous,MALE,32,Incarcerated,,INDETERMINATE,0,QUEBEC,MARRIED,SUFIISM
14,WHITE,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,9168,BRITISH COLUMBIA,SINGLE,BUDDHIST
15,WHITE,Non Indigenous,MALE,59,Incarcerated,,DETERMINATE,2266,QUEBEC,MARRIED,CATH NON-SPEC
16,WHITE,Non Indigenous,MALE,40,Incarcerated,,DETERMINATE,2192,ONTARIO,SINGLE,MUSLIM
17,BLACK,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,1186,QUEBEC,COMMON LAW,MUSLIM
18,,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,776,SASKATCHEWAN,SINGLE,
19,NORTH AMERICAN,Indigenous,FEMALE,38,Supervised,SR,DETERMINATE,1096,ONTARIO,SINGLE,NATIVE SPIRITUA
20,NORTH AMERICAN,Indigenous,MALE,31,Supervised,SR,DETERMINATE,1278,ALBERTA,SINGLE,NATIVE SPIRITUA
21,WHITE,Non Indigenous,MALE,46,Incarcerated,,INDETERMINATE,0,QUEBEC,MARRIED,NONE
22,BLACK,Non Indigenous,MALE,27,Incarcerated,,DETERMINATE,1461,ONTARIO,SINGLE,MUSLIM
23,METIS,Indigenous,MALE,43,Incarcerated,,DETERMINATE,1642,SASKATCHEWAN,UNKNOWN,
24,WHITE,Non Indigenous,MALE,44,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
25,WHITE,Non Indigenous,MALE,38,Incarcerated,,DETERMINATE,1826,BRITISH COLUMBIA,COMMON LAW,NONE
26,WHITE,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,1705,QUEBEC,SINGLE,CATH NON-SPEC
27,NORTH AMERICAN,Indigenous,MALE,23,Incarcerated,,DETERMINATE,1453,BRITISH COLUMBIA,SINGLE,NONE
28,ASIAN-SOUTH,Non Indigenous,MALE,23,Incarcerated,,DETERMINATE,1338,ONTARIO,SINGLE,MUSLIM
29,WHITE,Non Indigenous,MALE,51,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
30,WHITE,Non Indigenous,MALE,44,Incarcerated,,DETERMINATE,13073,QUEBEC,SINGLE,PROT NON-SPEC
31,WHITE,Non Indigenous,MALE,23,Incarcerated,,DETERMINATE,730,QUEBEC,SINGLE,CATH NON-SPEC
32,WHITE,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,1446,QUEBEC,COMMON LAW,CATH NON-SPEC
33,BLACK,Non Indigenous,MALE,31,Supervised,SR,DETERMINATE,3378,ONTARIO,COMMON LAW,NONE
34,WHITE,Non Indigenous,MALE,21,Supervised,FP,DETERMINATE,790,ALBERTA,SINGLE,NOT STATED
35,ARAB,Non Indigenous,MALE,46,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,MUSLIM
36,METIS,Indigenous,MALE,48,Supervised,FP,INDETERMINATE,0,SASKATCHEWAN,SINGLE,ATHEIST
37,NORTH AMERICAN,Indigenous,MALE,46,Supervised,SR,DETERMINATE,4017,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
38,METIS,Indigenous,MALE,38,Incarcerated,,DETERMINATE,1093,SASKATCHEWAN,COMMON LAW,
39,WHITE,Non Indigenous,MALE,44,Incarcerated,,INDETERMINATE,0,ONTARIO,DIVORCED,ANGLICAN(EPIS.
40,,Non Indigenous,MALE,24,Incarcerated,,DETERMINATE,973,SASKATCHEWAN,UNKNOWN,
41,WHITE,Non Indigenous,MALE,32,Supervised,DP,DETERMINATE,1389,ONTARIO,COMMON LAW,CATHOLIC - ROMA
42,WHITE,Non Indigenous,MALE,46,Incarcerated,,DETERMINATE,4293,QUEBEC,SEPARATED,CATH NON-SPEC
43,WHITE,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,1188,ONTARIO,COMMON LAW,NONE
44,BLACK,Non Indigenous,MALE,28,Supervised,FP,DETERMINATE,1888,ONTARIO,COMMON LAW,CHRI NON SPEC
45,SOUTH ASIAN,Non Indigenous,MALE,31,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,MUSLIM
46,WHITE,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,851,QUEBEC,COMMON LAW,CATH NON-SPEC
47,WHITE,Non Indigenous,FEMALE,34,Incarcerated,,DETERMINATE,1969,ALBERTA,SINGLE,NOT STATED
48,NORTH AMERICAN,Indigenous,FEMALE,38,Incarcerated,,DETERMINATE,730,NOVA SCOTIA,SINGLE,CATHOLIC - ROMA
49,WHITE,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,997,QUEBEC,SINGLE,ATHEIST
50,SOUTH ASIAN,Non Indigenous,MALE,36,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,MARRIED,BUDDHIST
51,WHITE,Non Indigenous,MALE,37,Supervised,DP,INDETERMINATE,0,ONTARIO,SINGLE,AGNOSTIC
52,WHITE,Non Indigenous,MALE,55,Incarcerated,,INDETERMINATE,0,ONTARIO,DIVORCED,PROT NON-SPEC
53,METIS,Indigenous,MALE,39,Incarcerated,,DETERMINATE,1461,SASKATCHEWAN,COMMON LAW,NOT STATED
54,LATIN AMERICAN,Non Indigenous,MALE,68,Incarcerated,,INDETERMINATE,0,QUEBEC,WIDOW(ER),PROT NON-SPEC
55,WHITE,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,1277,QUEBEC,SINGLE,ATHEIST
56,WHITE,Non Indigenous,MALE,31,Supervised,FP,DETERMINATE,730,ALBERTA,COMMON LAW,CATH NON-SPEC
57,NORTH AMERICAN,Indigenous,MALE,24,Incarcerated,,DETERMINATE,4933,MANITOBA,COMMON LAW,NATIVE SPIRITUA
58,NORTH AMERICAN,Indigenous,MALE,35,Supervised,SR,DETERMINATE,960,ONTARIO,SINGLE,ANGLICAN(EPIS.
59,WHITE,Non Indigenous,MALE,39,Incarcerated,,DETERMINATE,1461,BRITISH COLUMBIA,SEPARATED,NONE
60,NORTH AMERICAN,Indigenous,MALE,43,Incarcerated,,INDETERMINATE,0,NOVA SCOTIA,SINGLE,NATIVE SPIRITUA
